activity_at	sedentaryMinutes	lightlyActiveMinutes	fairlyActiveMinutes	veryActiveMinutes	user_id	day	dow
1410350399.9995	1414.0	17.0	9.0	0.0	0	353	2
1410436799.9995	1305.0	60.0	71.0	4.0	0	354	3
1410523199.9995	1385.0	36.0	19.0	0.0	0	355	4
1410609599.9995	1330.0	61.0	44.0	5.0	0	356	5
1410695999.9995	1186.0	110.0	102.0	42.0	0	357	6
1410782399.9995	1237.0	92.0	77.0	34.0	0	358	0
1410868799.9995	1429.0	6.0	5.0	0.0	0	359	1
1410955199.9995	1066.0	161.0	157.0	56.0	0	360	2
1411041599.9995	1145.0	125.0	127.0	43.0	0	361	3
1411127999.9995	1155.0	125.0	120.0	40.0	0	362	4
1411214399.9995	1427.0	9.0	4.0	0.0	0	363	5
1411300799.9995	1440.0	0.0	0.0	0.0	0	364	6
1411387199.9995	1167.0	129.0	110.0	34.0	0	365	0
1411473599.9995	1184.0	94.0	122.0	40.0	0	366	1
1411559999.9995	1243.0	88.0	72.0	37.0	0	367	2
1411646399.9995	1263.0	93.0	60.0	24.0	0	368	3
1411732799.9995	1223.0	80.0	96.0	41.0	0	369	4
1411819199.9995	1440.0	0.0	0.0	0.0	0	370	5
1411905599.9995	1440.0	0.0	0.0	0.0	0	371	6
1411991999.9995	1440.0	0.0	0.0	0.0	0	372	0
1412078399.9995	1230.0	85.0	96.0	29.0	0	373	1
1412164799.9995	1117.0	135.0	137.0	51.0	0	374	2
1412251199.9995	1114.0	127.0	131.0	68.0	0	375	3
1412337599.9995	1293.0	64.0	55.0	28.0	0	376	4
1410350399.9995	1313.0	56.0	33.0	38.0	1	353	2
1410436799.9995	1245.0	101.0	53.0	41.0	1	354	3
1410523199.9995	1291.0	81.0	38.0	30.0	1	355	4
1410609599.9995	1440.0	0.0	0.0	0.0	1	356	5
1410695999.9995	1440.0	0.0	0.0	0.0	1	357	6
1410782399.9995	1138.0	102.0	172.0	28.0	1	358	0
1410868799.9995	653.0	132.0	627.0	28.0	1	359	1
1410955199.9995	1260.0	79.0	59.0	42.0	1	360	2
1411041599.9995	1278.0	89.0	50.0	23.0	1	361	3
1411127999.9995	1243.0	104.0	63.0	30.0	1	362	4
1411214399.9995	1436.0	3.0	1.0	0.0	1	363	5
1411300799.9995	1391.0	23.0	26.0	0.0	1	364	6
1411387199.9995	1269.0	82.0	60.0	29.0	1	365	0
1411473599.9995	1353.0	50.0	21.0	16.0	1	366	1
1410263999.9995	1253.0	107.0	62.0	18.0	2	352	1
1410350399.9995	1308.0	68.0	45.0	19.0	2	353	2
1410436799.9995	1169.0	155.0	92.0	24.0	2	354	3
1410523199.9995	1271.0	80.0	69.0	20.0	2	355	4
1410609599.9995	1129.0	153.0	129.0	29.0	2	356	5
1410695999.9995	1198.0	124.0	99.0	19.0	2	357	6
1410782399.9995	1264.0	101.0	46.0	29.0	2	358	0
1410868799.9995	1238.0	103.0	65.0	34.0	2	359	1
1410955199.9995	1439.0	1.0	0.0	0.0	2	360	2
1411041599.9995	1220.0	103.0	88.0	29.0	2	361	3
1411127999.9995	1246.0	103.0	76.0	15.0	2	362	4
1411214399.9995	1440.0	0.0	0.0	0.0	2	363	5
1411300799.9995	1440.0	0.0	0.0	0.0	2	364	6
1411387199.9995	1274.0	87.0	53.0	26.0	2	365	0
1411473599.9995	1297.0	71.0	48.0	24.0	2	366	1
1411559999.9995	1254.0	97.0	57.0	32.0	2	367	2
1411646399.9995	1252.0	92.0	65.0	31.0	2	368	3
1411732799.9995	1230.0	111.0	72.0	27.0	2	369	4
1411819199.9995	1440.0	0.0	0.0	0.0	2	370	5
1411905599.9995	1440.0	0.0	0.0	0.0	2	371	6
